Round,Selected Prices,Buyer Valuations,Purchases,Rewards,Revenue,Remaining Inventory
1,"{0: 0.5, 1: 0.4, 2: 0.5, 3: 0.5, 4: 0.2, 5: 0.4, 6: 0.2, 7: 0.3, 8: 0.6, 9: 0.5}","{0: 0.4129553510618901, 1: 0.47557902447662004, 2: 0.5426721218431227, 3: 0.47813899173769076, 4: 0.5014658440775346, 5: 0.6154593641514993, 6: 0.5981964912849113, 7: 0.5596770669816543, 8: 0.6336048199088361, 9: 0.6066319645400509}","{0: False, 1: True, 2: True, 3: False, 4: True, 5: True, 6: True, 7: True, 8: True, 9: True}","{0: 0.0, 1: 0.4, 2: 0.5, 3: 0.0, 4: 0.2, 5: 0.4, 6: 0.2, 7: 0.3, 8: 0.6, 9: 0.5}",3.1,492
2,"{0: 0.3, 1: 0.3, 2: 0.6, 3: 0.5, 4: 0.2, 5: 0.2, 6: 0.6, 7: 0.5, 8: 0.3, 9: 0.6}","{0: 0.47304968732824504, 1: 0.39089598228093914, 2: 0.4259225236520632, 3: 0.5096624595795519, 4: 0.5127437007887651, 5: 0.6047060441991357, 6: 0.5692008945571971, 7: 0.569595334030379, 8: 0.7391013783071069, 9: 0.6801385456005882}","{0: True, 1: True, 2: False, 3: True, 4: True, 5: True, 6: False, 7: True, 8: True, 9: True}","{0: 0.3, 1: 0.3, 2: 0.0, 3: 0.5, 4: 0.2, 5: 0.2, 6: 0.0, 7: 0.5, 8: 0.3, 9: 0.6}",2.9,484
3,"{0: 0.2, 1: 0.6, 2: 0.5, 3: 0.2, 4: 0.3, 5: 0.3, 6: 0.3, 7: 0.6, 8: 0.2, 9: 0.5}","{0: 0.485624894589393, 1: 0.5605799623349215, 2: 0.6242820227077887, 3: 0.592123009012295, 4: 0.6993943834618085, 5: 0.6815143427096995, 6: 0.7278983843770906, 7: 0.7433345359163993, 8: 0.8969705704144307, 9: 0.834618594613202}","{0: True, 1: False, 2: True, 3: True, 4: True, 5: True, 6: True, 7: True, 8: True, 9: True}","{0: 0.2, 1: 0.0, 2: 0.5, 3: 0.2, 4: 0.3, 5: 0.3, 6: 0.3, 7: 0.6, 8: 0.2, 9: 0.5}",3.1,475
4,"{0: 0.3, 1: 0.2, 2: 0.5, 3: 0.4, 4: 0.6, 5: 0.3, 6: 0.5, 7: 0.5, 8: 0.4, 9: 0.2}","{0: 0.6178738823441039, 1: 0.5477459340592236, 2: 0.6512727761268428, 3: 0.5748875700014464, 4: 0.6385032535693439, 5: 0.7467970976265518, 6: 0.8059188446516963, 7: 0.8096054095302546, 8: 0.8272960611701742, 9: 0.8500647703289521}","{0: True, 1: True, 2: True, 3: True, 4: True, 5: True, 6: True, 7: True, 8: True, 9: True}","{0: 0.3, 1: 0.2, 2: 0.5, 3: 0.4, 4: 0.6, 5: 0.3, 6: 0.5, 7: 0.5, 8: 0.4, 9: 0.2}",3.9,465
5,"{0: 0.3, 1: 0.4, 2: 0.2, 3: 0.6, 4: 0.6, 5: 0.4, 6: 0.2, 7: 0.5, 8: 0.2, 9: 0.2}","{0: 0.5750518461262124, 1: 0.6219590100282889, 2: 0.7317939519175545, 3: 0.7300656471153621, 4: 0.6586796168991328, 5: 0.7969827151673397, 6: 0.7954712947071146, 7: 0.8148262007429629, 8: 0.9132030072306345, 9: 0.9681160609437192}","{0: True, 1: True, 2: True, 3: True, 4: True, 5: True, 6: True, 7: True, 8: True, 9: True}","{0: 0.3, 1: 0.4, 2: 0.2, 3: 0.6, 4: 0.6, 5: 0.4, 6: 0.2, 7: 0.5, 8: 0.2, 9: 0.2}",3.6,455
6,"{0: 0.6, 1: 0.5, 2: 0.2, 3: 0.5, 4: 0.2, 5: 0.5, 6: 0.2, 7: 0.3, 8: 0.5, 9: 0.3}","{0: 0.699628413817965, 1: 0.7673280761853749, 2: 0.8405512715469526, 3: 0.9139647613317311, 4: 0.8824281980821874, 5: 0.9383033661400998, 6: 0.9334689712718279, 7: 0.9701747937669346, 8: 1.0, 9: 1.0}","{0: True, 1: True, 2: True, 3: True, 4: True, 5: True, 6: True, 7: True, 8: True, 9: True}","{0: 0.6, 1: 0.5, 2: 0.2, 3: 0.5, 4: 0.2, 5: 0.5, 6: 0.2, 7: 0.3, 8: 0.5, 9: 0.3}",3.8,445
7,"{0: 0.3, 1: 0.2, 2: 0.6, 3: 0.2, 4: 0.2, 5: 0.3, 6: 0.4, 7: 0.6, 8: 0.4, 9: 0.6}","{0: 0.7666647931284348, 1: 0.7743748466103171, 2: 0.7638419547517812, 3: 0.8539726198815599, 4: 0.9526095650535396, 5: 0.9137213318988452, 6: 1.0, 7: 0.8641351728980595, 8: 1.0, 9: 1.0}","{0: True, 1: True, 2: True, 3: True, 4: True, 5: True, 6: True, 7: True, 8: True, 9: True}","{0: 0.3, 1: 0.2, 2: 0.6, 3: 0.2, 4: 0.2, 5: 0.3, 6: 0.4, 7: 0.6, 8: 0.4, 9: 0.6}",3.8,435
8,"{0: 0.2, 1: 0.2, 2: 0.6, 3: 0.5, 4: 0.5, 5: 0.2, 6: 0.3, 7: 0.4, 8: 0.4, 9: 0.2}","{0: 0.706959665041321, 1: 0.6420138263853092, 2: 0.7694293236242864, 3: 0.8372891924925574, 4: 0.9323489120548539, 5: 0.8715613448049039, 6: 0.8960708214747349, 7: 0.9504282953409757, 8: 1.0, 9: 1.0}","{0: True, 1: True, 2: True, 3: True, 4: True, 5: True, 6: True, 7: True, 8: True, 9: True}","{0: 0.2, 1: 0.2, 2: 0.6, 3: 0.5, 4: 0.5, 5: 0.2, 6: 0.3, 7: 0.4, 8: 0.4, 9: 0.2}",3.5,425
9,"{0: 0.2, 1: 0.2, 2: 0.4, 3: 0.6, 4: 0.4, 5: 0.5, 6: 0.4, 7: 0.2, 8: 0.6, 9: 0.2}","{0: 0.6940176202941126, 1: 0.7103389176968715, 2: 0.7910480813471387, 3: 0.7446439687176513, 4: 0.8004943076726551, 5: 0.8344027989369603, 6: 0.817963250777987, 7: 0.9430758036288465, 8: 0.9784533449756367, 9: 1.0}","{0: True, 1: True, 2: True, 3: True, 4: True, 5: True, 6: True, 7: True, 8: True, 9: True}","{0: 0.2, 1: 0.2, 2: 0.4, 3: 0.6, 4: 0.4, 5: 0.5, 6: 0.4, 7: 0.2, 8: 0.6, 9: 0.2}",3.7,415
10,"{0: 0.4, 1: 0.5, 2: 0.5, 3: 0.5, 4: 0.5, 5: 0.4, 6: 0.3, 7: 0.5, 8: 0.6, 9: 0.4}","{0: 0.566412215250726, 1: 0.6515474169012703, 2: 0.6908428878994913, 3: 0.7032636809510403, 4: 0.7707121895151122, 5: 0.834377948625431, 6: 0.9438836315315222, 7: 0.8937021577988792, 8: 0.9332497173797168, 9: 0.9520488327415617}","{0: True, 1: True, 2: True, 3: True, 4: True, 5: True, 6: True, 7: True, 8: True, 9: True}","{0: 0.4, 1: 0.5, 2: 0.5, 3: 0.5, 4: 0.5, 5: 0.4, 6: 0.3, 7: 0.5, 8: 0.6, 9: 0.4}",4.6,405
11,"{0: 0.5, 1: 0.3, 2: 0.5, 3: 0.6, 4: 0.4, 5: 0.5, 6: 0.5, 7: 0.2, 8: 0.2, 9: 0.4}","{0: 0.5100147383491689, 1: 0.542759744403216, 2: 0.691318141314964, 3: 0.5869457892361786, 4: 0.6400490063764502, 5: 0.6516438525590424, 6: 0.623353340947863, 7: 0.7673361853391257, 8: 0.7761994980322482, 9: 0.8065622455345969}","{0: True, 1: True, 2: True, 3: False, 4: True, 5: True, 6: True, 7: True, 8: True, 9: True}","{0: 0.5, 1: 0.3, 2: 0.5, 3: 0.0, 4: 0.4, 5: 0.5, 6: 0.5, 7: 0.2, 8: 0.2, 9: 0.4}",3.5,396
