round,oracle_reward,oracle_cumulative,ucb1_reward,ucb1_cumulative,ucb1_price,ucb1_regret,ucb1_cumulative_regret
0,0.0,0.0,0.1,0.1,0.1,-0.1,-0.1
1,0.5,0.5,0.2,0.30000000000000004,0.2,0.3,0.19999999999999998
2,0.5,1.0,0.3,0.6000000000000001,0.3,0.2,0.4
3,0.5,1.5,0.4,1.0,0.4,0.09999999999999998,0.5
4,0.0,1.5,0.5,1.5,0.5,-0.5,0.0
5,0.0,1.5,0.6,2.1,0.6,-0.6,-0.6
6,0.0,1.5,0.0,2.1,0.7,0.0,-0.6
7,0.5,2.0,0.8,2.9000000000000004,0.8,-0.30000000000000004,-0.9
8,0.5,2.5,0.0,2.9000000000000004,0.9,0.5,-0.4
9,0.5,3.0,0.0,2.9000000000000004,1.0,0.5,0.09999999999999998
10,0.0,3.0,0.0,2.9000000000000004,0.8,0.0,0.09999999999999998
11,0.5,3.5,0.6,3.5000000000000004,0.6,-0.09999999999999998,0.0
12,0.5,4.0,0.5,4.0,0.5,0.0,0.0
13,0.0,4.0,0.0,4.0,0.4,0.0,0.0
14,0.0,4.0,0.3,4.3,0.3,-0.3,-0.3
15,0.0,4.0,0.2,4.5,0.2,-0.2,-0.5
16,0.0,4.0,0.1,4.6,0.1,-0.1,-0.6
17,0.5,4.5,0.0,4.6,0.7,0.5,-0.09999999999999998
18,0.0,4.5,0.9,5.5,0.9,-0.9,-1.0
19,0.0,4.5,0.0,5.5,1.0,0.0,-1.0
20,0.5,5.0,0.6,6.1,0.6,-0.09999999999999998,-1.1
21,0.0,5.0,0.0,6.1,0.5,0.0,-1.1
22,0.0,5.0,0.9,7.0,0.9,-0.9,-2.0
23,0.0,5.0,0.8,7.8,0.8,-0.8,-2.8
24,0.0,5.0,0.3,8.1,0.3,-0.3,-3.0999999999999996
25,0.5,5.5,0.0,8.1,0.6,0.5,-2.5999999999999996
26,0.0,5.5,0.0,8.1,0.9,0.0,-2.5999999999999996
27,0.5,6.0,0.8,8.9,0.8,-0.30000000000000004,-2.8999999999999995
28,0.5,6.5,0.2,9.1,0.2,0.3,-2.5999999999999996
29,0.0,6.5,0.4,9.5,0.4,-0.4,-2.9999999999999996
30,0.5,7.0,0.0,9.5,0.1,0.5,-2.4999999999999996
31,0.0,7.0,0.0,9.5,0.8,0.0,-2.4999999999999996
32,0.0,7.0,0.0,9.5,0.7,0.0,-2.4999999999999996
33,0.5,7.5,0.0,9.5,1.0,0.5,-1.9999999999999996
34,0.5,8.0,0.0,9.5,0.5,0.5,-1.4999999999999996
35,0.5,8.5,0.3,9.8,0.3,0.2,-1.2999999999999996
36,0.0,8.5,0.0,9.8,0.4,0.0,-1.2999999999999996
37,0.0,8.5,0.6,10.4,0.6,-0.6,-1.8999999999999995
38,0.5,9.0,0.0,10.4,0.9,0.5,-1.3999999999999995
39,0.0,9.0,0.2,10.6,0.2,-0.2,-1.5999999999999994
40,0.0,9.0,0.0,10.6,0.6,0.0,-1.5999999999999994
41,0.0,9.0,0.0,10.6,0.8,0.0,-1.5999999999999994
42,0.0,9.0,0.3,10.9,0.3,-0.3,-1.8999999999999995
43,0.5,9.5,0.1,11.0,0.1,0.4,-1.4999999999999996
44,0.0,9.5,0.5,11.5,0.5,-0.5,-1.9999999999999996
45,0.5,10.0,0.0,11.5,0.9,0.5,-1.4999999999999996
46,0.0,10.0,0.0,11.5,0.7,0.0,-1.4999999999999996
47,0.5,10.5,0.0,11.5,1.0,0.5,-0.9999999999999996
48,0.5,11.0,0.2,11.7,0.2,0.3,-0.6999999999999995
49,0.0,11.0,0.0,11.7,0.4,0.0,-0.6999999999999995
50,0.5,11.5,0.3,12.0,0.3,0.2,-0.4999999999999995
51,0.5,12.0,0.5,12.5,0.5,0.0,-0.4999999999999995
52,0.5,12.5,0.8,13.3,0.8,-0.30000000000000004,-0.7999999999999996
53,0.5,13.0,0.6,13.9,0.6,-0.09999999999999998,-0.8999999999999996
54,0.5,13.5,0.8,14.700000000000001,0.8,-0.30000000000000004,-1.1999999999999997
55,0.5,14.0,0.0,14.700000000000001,0.8,0.5,-0.6999999999999997
56,0.0,14.0,0.6,15.3,0.6,-0.6,-1.2999999999999998
57,0.0,14.0,0.1,15.4,0.1,-0.1,-1.4
58,0.0,14.0,0.0,15.4,0.5,0.0,-1.4
