round,ucb_reward,pd_reward,ucb_cumulative,pd_cumulative,ucb_produced,pd_produced
0,0.1,0.0,0.1,0.0,True,True
1,0.2,0.1,0.30000000000000004,0.1,True,True
2,0.3,0.4,0.6000000000000001,0.5,True,True
3,0.4,0.2,1.0,0.7,True,True
4,0.0,0.1,1.0,0.7999999999999999,True,True
5,0.0,0.0,1.0,0.7999999999999999,True,True
6,0.0,0.4,1.0,1.2,True,True
7,0.8,0.0,1.8,1.2,True,True
8,0.0,0.3,1.8,1.5,True,True
9,0.0,0.0,1.8,1.5,True,True
10,0.0,0.0,1.8,1.5,True,True
11,0.4,0.0,2.2,1.5,True,True
12,0.3,0.0,2.5,1.5,True,True
13,0.2,0.4,2.7,1.9,True,True
14,0.1,0.4,2.8000000000000003,2.3,True,True
15,0.0,0.0,2.8000000000000003,2.3,True,True
16,0.0,0.0,2.8000000000000003,2.3,True,True
17,0.0,0.0,2.8000000000000003,2.3,True,True
18,0.0,0.0,2.8000000000000003,2.3,True,True
19,0.0,0.0,2.8000000000000003,2.3,True,True
20,0.4,0.0,3.2,2.3,True,True
21,0.0,0.3,3.2,2.5999999999999996,True,True
22,0.0,0.1,3.2,2.6999999999999997,True,True
23,0.2,0.0,3.4000000000000004,2.6999999999999997,True,True
24,0.1,0.6,3.5000000000000004,3.3,True,True
25,0.4,0.0,3.9000000000000004,3.3,True,True
26,0.0,0.2,3.9000000000000004,3.5,True,True
27,0.0,0.0,3.9000000000000004,3.5,True,True
28,0.0,0.3,3.9000000000000004,3.8,True,True
29,0.0,0.2,3.9000000000000004,4.0,True,True
30,0.0,0.2,3.9000000000000004,4.2,True,True
31,0.0,0.0,3.9000000000000004,4.2,True,True
32,0.0,0.0,3.9000000000000004,4.2,True,True
33,0.3,0.0,4.2,4.2,True,True
34,0.4,0.0,4.6000000000000005,4.2,True,True
35,0.1,0.0,4.7,4.2,True,True
36,0.0,0.4,4.7,4.6000000000000005,True,True
37,0.0,0.0,4.7,4.6000000000000005,True,True
38,0.5,0.0,5.2,4.6000000000000005,True,True
39,0.0,0.0,5.2,4.6000000000000005,True,True
40,0.0,0.0,5.2,4.6000000000000005,True,True
41,0.0,0.4,5.2,5.000000000000001,True,True
42,0.0,0.0,5.2,5.000000000000001,True,True
43,0.8,0.0,6.0,5.000000000000001,True,True
44,0.0,0.3,6.0,5.300000000000001,True,True
45,0.2,0.0,6.2,5.300000000000001,True,True
46,0.0,0.5,6.2,5.800000000000001,True,True
47,0.1,0.0,6.3,5.800000000000001,True,True
48,0.4,0.0,6.7,5.800000000000001,True,True
49,0.0,0.0,6.7,5.800000000000001,True,True
50,0.2,0.2,6.9,6.000000000000001,True,True
51,0.0,0.0,6.9,6.000000000000001,True,True
52,0.6,0.0,7.5,6.000000000000001,True,True
53,0.7,0.0,8.2,6.000000000000001,True,True
54,0.0,0.0,8.2,6.000000000000001,True,True
55,0.0,0.0,8.2,6.000000000000001,True,True
56,0.0,0.0,8.2,6.000000000000001,True,True
57,0.0,0.0,8.2,6.000000000000001,True,True
58,0.0,0.0,8.2,6.000000000000001,True,True
59,0.1,0.0,8.299999999999999,6.000000000000001,True,True
60,0.0,0.3,8.299999999999999,6.300000000000001,True,True
61,0.2,0.5,8.499999999999998,6.800000000000001,True,True
62,0.3,0.4,8.799999999999999,7.200000000000001,True,True
63,0.0,0.0,8.799999999999999,7.200000000000001,True,True
64,0.0,0.1,8.799999999999999,7.300000000000001,True,True
65,0.0,0.0,8.799999999999999,7.300000000000001,True,True
66,0.0,0.9,8.799999999999999,8.200000000000001,True,True
67,0.0,0.9,8.799999999999999,9.100000000000001,True,True
68,0.0,0.0,8.799999999999999,9.100000000000001,True,True
69,0.6,0.0,9.399999999999999,9.100000000000001,True,True
70,0.5,0.0,9.899999999999999,9.100000000000001,True,True
71,0.0,0.0,9.899999999999999,9.100000000000001,True,True
72,0.0,0.0,9.899999999999999,9.100000000000001,True,True
73,0.6,0.6,10.499999999999998,9.700000000000001,True,True
74,0.6,0.0,11.099999999999998,9.700000000000001,True,True
75,0.5,0.3,11.599999999999998,10.000000000000002,True,True
76,0.4,0.4,11.999999999999998,10.400000000000002,True,True
77,0.0,0.0,11.999999999999998,10.400000000000002,True,True
78,0.0,0.8,11.999999999999998,11.200000000000003,True,True
79,0.0,0.0,11.999999999999998,11.200000000000003,True,True
80,0.7,0.0,12.699999999999998,11.200000000000003,True,True
