round,ucb_reward,pd_reward,ucb_cumulative,pd_cumulative,ucb_price,pd_price,ucb_produced,pd_produced,pd_lambda
0,0.1,0.0,0.1,0.0,0.1,0.8,True,True,0.0
1,0.2,0.2,0.30000000000000004,0.2,0.2,0.2,True,True,0.0
2,0.3,0.5,0.6000000000000001,0.7,0.3,0.5,True,True,0.0
3,0.0,0.0,0.6000000000000001,0.7,0.4,0.7,True,True,0.0
4,0.5,0.1,1.1,0.7999999999999999,0.5,0.1,True,True,0.0
5,0.0,0.1,1.1,0.8999999999999999,0.6,0.1,True,True,0.0
6,0.0,0.0,1.1,0.8999999999999999,0.7,1.0,True,True,0.0
7,0.0,0.1,1.1,0.9999999999999999,0.8,0.1,True,True,0.0
8,0.0,0.1,1.1,1.0999999999999999,0.9,0.1,True,True,0.0
9,0.0,0.1,1.1,1.2,1.0,0.1,True,True,0.0
10,0.5,0.0,1.6,1.2,0.5,1.0,True,True,0.0
11,0.3,0.6,1.9000000000000001,1.7999999999999998,0.3,0.6,True,True,0.0
12,0.2,0.4,2.1,2.1999999999999997,0.2,0.4,True,True,0.0
13,0.1,0.0,2.2,2.1999999999999997,0.1,0.9,True,True,0.0
14,0.4,0.0,2.6,2.1999999999999997,0.4,0.7,True,True,0.0
15,0.0,0.0,2.6,2.1999999999999997,0.6,1.0,True,True,0.0
16,0.0,0.6,2.6,2.8,0.7,0.6,True,True,0.0
17,0.0,0.3,2.6,3.0999999999999996,0.8,0.3,True,True,0.0
18,0.0,0.3,2.6,3.3999999999999995,0.9,0.3,True,True,0.0
19,0.0,0.8,2.6,4.199999999999999,1.0,0.8,True,True,0.0
20,0.5,0.3,3.1,4.499999999999999,0.5,0.3,True,True,0.0
21,0.3,0.0,3.4,4.499999999999999,0.3,0.7,True,True,0.0
22,0.2,0.5,3.6,4.999999999999999,0.2,0.5,True,True,0.0
23,0.4,0.1,4.0,5.099999999999999,0.4,0.1,True,True,0.0
24,0.5,0.0,4.5,5.099999999999999,0.5,0.8,True,True,0.0
25,0.1,0.0,4.6,5.099999999999999,0.1,0.9,True,True,0.0
26,0.0,0.7,4.6,5.799999999999999,0.6,0.7,True,True,0.0
27,0.0,0.0,4.6,5.799999999999999,0.7,0.5,True,True,0.0
28,0.0,0.0,4.6,5.799999999999999,0.8,1.0,True,True,0.0
29,0.0,0.5,4.6,6.299999999999999,0.9,0.5,True,True,0.0
30,0.0,0.6,4.6,6.899999999999999,1.0,0.6,True,True,0.0
31,0.0,0.4,4.6,7.299999999999999,0.3,0.4,True,True,0.0
32,0.0,0.4,4.6,7.699999999999999,0.5,0.4,True,True,0.0
33,0.0,0.4,4.6,8.1,0.4,0.4,True,True,0.0
34,0.2,0.1,4.8,8.2,0.2,0.1,True,True,0.0
35,0.1,0.0,4.8999999999999995,8.2,0.1,0.7,True,True,0.0
36,0.5,0.6,5.3999999999999995,8.799999999999999,0.5,0.6,True,True,0.0
37,0.3,0.0,5.699999999999999,8.799999999999999,0.3,0.9,True,True,0.0
38,0.0,0.0,5.699999999999999,8.799999999999999,0.6,0.8,True,True,0.0
39,0.0,0.4,5.699999999999999,9.2,0.7,0.4,True,True,0.0
40,0.0,0.6,5.699999999999999,9.799999999999999,0.8,0.6,True,True,0.0
41,0.0,0.4,5.699999999999999,10.2,0.9,0.4,True,True,0.0
42,0.0,0.6,5.699999999999999,10.799999999999999,1.0,0.6,True,True,0.0
43,0.2,0.0,5.8999999999999995,10.799999999999999,0.2,0.7,True,True,0.0
44,0.0,0.0,5.8999999999999995,10.799999999999999,0.4,0.6,True,True,0.0
45,0.5,0.1,6.3999999999999995,10.899999999999999,0.5,0.1,True,True,0.0
46,0.1,0.6,6.499999999999999,11.499999999999998,0.1,0.6,True,True,0.0
47,0.3,0.3,6.799999999999999,11.799999999999999,0.3,0.3,True,True,0.0
48,0.5,0.8,7.299999999999999,12.6,0.5,0.8,True,True,0.0
49,0.2,0.0,7.499999999999999,12.6,0.2,0.6,True,True,0.0
50,0.0,0.3,7.499999999999999,12.9,0.5,0.3,True,True,0.0
51,0.4,0.3,7.8999999999999995,13.200000000000001,0.4,0.3,True,True,0.0
52,0.0,0.0,7.8999999999999995,13.200000000000001,0.6,0.9,True,True,0.0
53,0.7,0.0,8.6,13.200000000000001,0.7,0.8,True,True,0.0
54,0.0,0.6,8.6,13.8,0.8,0.6,True,True,0.0
