round,ucb_reward,pd_reward,ucb_cumulative,pd_cumulative,optimal_reward,optimal_cumulative,ucb_price,pd_price,ucb_produced,pd_produced,pd_lambda
0,0.1,0.0,0.1,0.0,0.0,0.0,0.1,0.4,True,True,0.0
1,0.2,0.0,0.30000000000000004,0.0,0.5,0.5,0.2,1.0,True,True,0.0
2,0.3,0.8,0.6000000000000001,0.8,0.5,1.0,0.3,0.8,True,True,0.0
3,0.4,0.0,1.0,0.8,0.5,1.5,0.4,0.7,True,True,0.0
4,0.5,0.2,1.5,1.0,0.0,1.5,0.5,0.2,True,True,0.0
5,0.6,0.2,2.1,1.2,0.0,1.5,0.6,0.2,True,True,0.0
6,0.0,0.1,2.1,1.3,0.0,1.5,0.7,0.1,True,True,0.0
7,0.8,0.0,2.9000000000000004,1.3,0.5,2.0,0.8,0.9,True,True,0.0
8,0.0,0.0,2.9000000000000004,1.3,0.5,2.5,0.9,0.7,True,True,0.0
9,0.0,0.0,2.9000000000000004,1.3,0.5,3.0,1.0,0.8,True,True,0.0
10,0.0,0.0,2.9000000000000004,1.3,0.0,3.0,0.8,0.1,True,True,0.0
11,0.6,0.0,3.5000000000000004,1.3,0.5,3.5,0.6,1.0,True,True,0.0
12,0.5,0.9,4.0,2.2,0.5,4.0,0.5,0.9,True,True,0.0
13,0.0,0.0,4.0,2.2,0.0,4.0,0.4,0.3,True,True,0.0
14,0.3,0.2,4.3,2.4000000000000004,0.0,4.0,0.3,0.2,True,True,0.0
15,0.2,0.2,4.5,2.6000000000000005,0.0,4.0,0.2,0.2,True,True,0.0
16,0.1,0.0,4.6,2.6000000000000005,0.0,4.0,0.1,0.4,True,True,0.0
17,0.0,0.6,4.6,3.2000000000000006,0.5,4.5,0.7,0.6,True,True,0.0
18,0.9,0.0,5.5,3.2000000000000006,0.0,4.5,0.9,0.5,True,True,0.0
19,0.0,0.3,5.5,3.5000000000000004,0.0,4.5,1.0,0.3,True,True,0.0
20,0.6,0.7,6.1,4.2,0.5,5.0,0.6,0.7,True,True,0.0
21,0.0,0.2,6.1,4.4,0.0,5.0,0.5,0.2,True,True,0.0
22,0.9,0.3,7.0,4.7,0.0,5.0,0.9,0.3,True,True,0.0
23,0.8,0.0,7.8,4.7,0.0,5.0,0.8,0.4,True,True,0.0
24,0.3,0.0,8.1,4.7,0.0,5.0,0.3,0.5,True,True,0.0
25,0.0,0.0,8.1,4.7,0.5,5.5,0.6,0.8,True,True,0.0
26,0.0,0.3,8.1,5.0,0.0,5.5,0.9,0.3,True,True,0.0
27,0.8,0.6,8.9,5.6,0.5,6.0,0.8,0.6,True,True,0.0
28,0.2,0.0,9.1,5.6,0.5,6.5,0.2,0.6,True,True,0.0
29,0.4,0.1,9.5,5.699999999999999,0.0,6.5,0.4,0.1,True,True,0.0
30,0.0,0.0,9.5,5.699999999999999,0.5,7.0,0.1,0.6,True,True,0.0
31,0.0,0.2,9.5,5.8999999999999995,0.0,7.0,0.8,0.2,True,True,0.0
32,0.0,0.1,9.5,5.999999999999999,0.0,7.0,0.7,0.1,True,True,0.0
33,0.0,0.0,9.5,5.999999999999999,0.5,7.5,1.0,1.0,True,True,0.0
34,0.0,0.0,9.5,5.999999999999999,0.5,8.0,0.5,1.0,True,True,0.0
35,0.3,0.0,9.8,5.999999999999999,0.5,8.5,0.3,0.8,True,True,0.0
36,0.0,0.0,9.8,5.999999999999999,0.0,8.5,0.4,0.4,True,True,0.0
37,0.6,0.0,10.4,5.999999999999999,0.0,8.5,0.6,0.2,True,True,0.0
38,0.0,0.0,10.4,5.999999999999999,0.5,9.0,0.9,0.7,True,True,0.0
39,0.2,0.0,10.6,5.999999999999999,0.0,9.0,0.2,0.5,True,True,0.0
40,0.0,0.2,10.6,6.199999999999999,0.0,9.0,0.6,0.2,True,True,0.0
41,0.0,0.5,10.6,6.699999999999999,0.0,9.0,0.8,0.5,True,True,0.0
42,0.3,0.1,10.9,6.799999999999999,0.0,9.0,0.3,0.1,True,True,0.0
43,0.1,0.0,11.0,6.799999999999999,0.5,9.5,0.1,0.9,True,True,0.0
