round,reward,cumulative_reward,price_selected,produced,lambda_value,distribution_changed
0,0.0,0.0,0.8,True,0.01897366596101028,False
1,0.2,0.2,0.2,True,0.03794733192202056,False
2,0.5,0.7,0.5,True,0.05692099788303084,False
3,0.0,0.7,0.7,True,0.07589466384404112,False
4,0.1,0.7999999999999999,0.1,True,0.09486832980505139,False
5,0.1,0.8999999999999999,0.1,True,0.11384199576606166,False
6,0.0,0.8999999999999999,1.0,True,0.13281566172707193,False
7,0.1,0.9999999999999999,0.1,True,0.1517893276880822,False
8,0.1,1.0999999999999999,0.1,True,0.17076299364909248,False
9,0.1,1.2,0.1,True,0.18973665961010275,False
10,0.0,1.2,1.0,True,0.20871032557111302,False
11,0.6,1.7999999999999998,0.6,True,0.2276839915321233,False
12,0.4,2.1999999999999997,0.4,True,0.24665765749313356,False
13,0.0,2.1999999999999997,0.9,True,0.26563132345414386,False
14,0.0,2.1999999999999997,0.7,True,0.28460498941515416,False
15,0.0,2.1999999999999997,1.0,True,0.30357865537616446,False
16,0.6,2.8,0.6,True,0.32255232133717476,False
17,0.3,3.0999999999999996,0.3,True,0.34152598729818506,False
18,0.3,3.3999999999999995,0.3,True,0.36049965325919536,False
19,0.8,4.199999999999999,0.8,True,0.37947331922020566,False
20,0.3,4.499999999999999,0.3,True,0.39844698518121596,False
21,0.0,4.499999999999999,0.8,True,0.41742065114222626,False
22,0.5,4.999999999999999,0.5,True,0.43639431710323656,False
23,0.1,5.099999999999999,0.1,True,0.45536798306424686,False
24,0.0,5.099999999999999,0.9,True,0.47434164902525716,False
25,0.0,5.099999999999999,1.0,True,0.49331531498626746,False
26,0.7,5.799999999999999,0.7,True,0.5122889809472777,False
27,0.0,5.799999999999999,0.6,True,0.531262646908288,False
28,0.0,5.799999999999999,1.0,True,0.5502363128692982,False
29,0.6,6.399999999999999,0.6,True,0.5692099788303084,False
30,0.6,6.999999999999998,0.6,True,0.5881836447913187,False
31,0.4,7.399999999999999,0.4,True,0.6071573107523289,False
32,0.4,7.799999999999999,0.4,True,0.6261309767133392,False
33,0.4,8.2,0.4,True,0.6451046426743494,False
34,0.1,8.299999999999999,0.1,True,0.6640783086353597,False
35,0.0,8.299999999999999,0.8,True,0.6830519745963699,False
36,0.6,8.899999999999999,0.6,True,0.7020256405573801,False
37,0.0,8.899999999999999,0.9,True,0.7209993065183904,False
38,0.0,8.899999999999999,0.9,True,0.7399729724794006,False
39,0.5,9.399999999999999,0.5,True,0.7589466384404109,False
40,0.7,10.099999999999998,0.7,True,0.7779203044014211,False
41,0.4,10.499999999999998,0.4,True,0.7968939703624314,False
42,0.6,11.099999999999998,0.6,True,0.8158676363234416,False
43,0.0,11.099999999999998,0.9,True,0.8348413022844519,False
44,0.0,11.099999999999998,0.7,True,0.8538149682454621,False
45,0.1,11.199999999999998,0.1,True,0.8727886342064723,False
46,0.0,11.199999999999998,0.7,True,0.8917623001674826,False
47,0.4,11.599999999999998,0.4,True,0.9107359661284928,False
48,0.9,12.499999999999998,0.9,True,0.9297096320895031,False
49,0.0,12.499999999999998,0.7,True,0.9486832980505133,False
50,0.3,12.799999999999999,0.3,True,0.9676569640115236,False
51,0.4,13.2,0.4,True,0.9866306299725338,False
52,0.0,13.2,1.0,True,1.005604295933544,False
53,0.0,13.2,0.9,True,1.0245779618945543,False
54,0.0,13.2,0.7,True,1.0435516278555645,False
55,0.6,13.799999999999999,0.6,True,1.0625252938165748,False
56,0.4,14.2,0.4,True,1.081498959777585,False
57,0.5,14.7,0.5,True,1.1004726257385953,False
58,0.3,15.0,0.3,True,1.1194462916996055,False
59,0.5,15.5,0.5,True,1.1384199576606158,False
60,0.0,15.5,0.7,True,1.157393623621626,False
61,0.6,16.1,0.6,True,1.1763672895826363,False
62,0.0,16.1,0.6,True,1.1953409555436465,False
63,0.5,16.6,0.5,True,1.2143146215046567,False
64,0.4,17.0,0.4,True,1.233288287465667,False
65,0.0,17.0,0.6,True,1.2522619534266772,False
66,0.3,17.3,0.3,True,1.2712356193876875,False
67,0.0,17.3,0.8,True,1.2902092853486977,False
68,0.0,17.3,0.8,True,1.309182951309708,False
69,0.6,17.900000000000002,0.6,True,1.3281566172707182,False
70,0.7,18.6,0.7,True,1.3471302832317285,False
71,0.6,19.200000000000003,0.6,True,1.3661039491927387,False
72,0.0,19.200000000000003,0.7,True,1.385077615153749,False
73,0.6,19.800000000000004,0.6,True,1.4040512811147592,False
74,0.5,20.300000000000004,0.5,True,1.4230249470757694,False
75,0.0,20.300000000000004,1.0,True,1.4419986130367797,True
76,0.2,20.500000000000004,0.2,True,1.46097227899779,False
77,0.0,20.500000000000004,0.8,True,1.4799459449588002,False
78,0.0,20.500000000000004,1.0,True,1.4989196109198104,False
79,0.0,20.500000000000004,0.5,True,1.5178932768808207,False
80,0.0,20.500000000000004,0.7,True,1.536866942841831,False
81,0.6,21.100000000000005,0.6,True,1.5558406088028411,False
82,0.9,22.000000000000004,0.9,True,1.5748142747638514,False
83,0.8,22.800000000000004,0.8,True,1.5937879407248616,False
84,0.1,22.900000000000006,0.1,True,1.6127616066858719,False
85,0.0,22.900000000000006,0.9,True,1.6317352726468821,False
86,0.8,23.700000000000006,0.8,True,1.6507089386078924,False
87,0.0,23.700000000000006,0.6,True,1.6696826045689026,False
88,0.0,23.700000000000006,1.0,True,1.6886562705299129,False
89,0.5,24.200000000000006,0.5,True,1.707629936490923,False
90,0.0,24.200000000000006,1.0,True,1.7266036024519333,False
91,0.6,24.800000000000008,0.6,True,1.7455772684129436,False
92,0.5,25.300000000000008,0.5,True,1.7645509343739538,False
93,0.8,26.10000000000001,0.8,True,1.783524600334964,False
94,0.0,26.10000000000001,1.0,True,1.8024982662959743,False
95,0.0,26.10000000000001,0.9,True,1.8214719322569846,False
