round,reward,cumulative_reward,price_selected,produced,lambda_value,optimal_reward,optimal_cumulative
0,0.0,0.0,0.4,True,0.006324555320336757,0.0,0.0
1,0.0,0.0,1.0,True,0.012649110640673514,0.5,0.5
2,0.8,0.8,0.8,True,0.018973665961010272,0.5,1.0
3,0.7,1.5,0.7,True,0.025298221281347028,0.5,1.5
4,0.2,1.7,0.2,True,0.031622776601683784,0.0,1.5
5,0.2,1.9,0.2,True,0.037947331922020544,0.0,1.5
6,0.1,2.0,0.1,True,0.044271887242357304,0.0,1.5
7,0.0,2.0,0.9,True,0.05059644256269406,0.5,2.0
8,0.0,2.0,0.7,True,0.05692099788303082,0.5,2.5
9,0.0,2.0,0.7,True,0.06324555320336758,0.5,3.0
10,0.1,2.1,0.1,True,0.06957010852370434,0.0,3.0
11,0.0,2.1,1.0,True,0.07589466384404109,0.5,3.5
12,0.9,3.0,0.9,True,0.08221921916437784,0.5,4.0
13,0.0,3.0,0.3,True,0.0885437744847146,0.0,4.0
14,0.2,3.2,0.2,True,0.09486832980505135,0.0,4.0
15,0.2,3.4000000000000004,0.2,True,0.1011928851253881,0.0,4.0
16,0.0,3.4000000000000004,0.4,True,0.10751744044572485,0.0,4.0
17,0.0,3.4000000000000004,0.6,True,0.1138419957660616,0.5,4.5
18,0.5,3.9000000000000004,0.5,True,0.12016655108639836,0.0,4.5
19,0.0,3.9000000000000004,0.4,True,0.1264911064067351,0.0,4.5
20,0.0,3.9000000000000004,0.7,True,0.13281566172707188,0.5,5.0
21,0.2,4.1000000000000005,0.2,True,0.13914021704740864,0.0,5.0
22,0.4,4.500000000000001,0.4,True,0.1454647723677454,0.0,5.0
23,0.4,4.900000000000001,0.4,True,0.15178932768808218,0.0,5.0
24,0.5,5.400000000000001,0.5,True,0.15811388300841894,0.0,5.0
25,0.0,5.400000000000001,0.8,True,0.1644384383287557,0.5,5.5
26,0.3,5.700000000000001,0.3,True,0.17076299364909248,0.0,5.5
27,0.6,6.300000000000001,0.6,True,0.17708754896942924,0.5,6.0
28,0.0,6.300000000000001,0.6,True,0.183412104289766,0.5,6.5
29,0.1,6.4,0.1,True,0.18973665961010278,0.0,6.5
30,0.0,6.4,0.7,True,0.19606121493043954,0.5,7.0
31,0.3,6.7,0.3,True,0.2023857702507763,0.0,7.0
32,0.1,6.8,0.1,True,0.20871032557111308,0.0,7.0
33,0.0,6.8,1.0,True,0.21503488089144984,0.5,7.5
34,0.0,6.8,1.0,True,0.2213594362117866,0.5,8.0
35,0.0,6.8,0.8,True,0.22768399153212338,0.5,8.5
36,0.0,6.8,0.4,True,0.23400854685246014,0.0,8.5
37,0.2,7.0,0.2,True,0.2403331021727969,0.0,8.5
38,0.0,7.0,0.7,True,0.24665765749313368,0.5,9.0
39,0.0,7.0,0.5,True,0.25298221281347044,0.0,9.0
40,0.2,7.2,0.2,True,0.2593067681338072,0.0,9.0
41,0.6,7.8,0.6,True,0.265631323454144,0.0,9.0
42,0.1,7.8999999999999995,0.1,True,0.27195587877448074,0.0,9.0
43,0.0,7.8999999999999995,0.9,True,0.2782804340948175,0.5,9.5
44,0.3,8.2,0.3,True,0.2846049894151543,0.0,9.5
45,0.0,8.2,0.7,True,0.29092954473549104,0.5,10.0
46,0.0,8.2,0.4,True,0.2972541000558278,0.0,10.0
47,0.0,8.2,0.6,True,0.3035786553761646,0.5,10.5
48,0.6,8.799999999999999,0.6,True,0.30990321069650134,0.5,11.0
49,0.0,8.799999999999999,0.3,True,0.3162277660168381,0.0,11.0
50,0.0,8.799999999999999,1.0,True,0.3225523213371749,0.5,11.5
51,0.0,8.799999999999999,0.8,True,0.32887687665751164,0.5,12.0
52,0.0,8.799999999999999,1.0,True,0.3352014319778484,0.5,12.5
53,0.0,8.799999999999999,0.9,True,0.3415259872981852,0.5,13.0
54,0.6,9.399999999999999,0.6,True,0.34785054261852194,0.5,13.5
55,0.0,9.399999999999999,0.9,True,0.3541750979388587,0.5,14.0
56,0.2,9.599999999999998,0.2,True,0.3604996532591955,0.0,14.0
57,0.3,9.899999999999999,0.3,True,0.36682420857953224,0.0,14.0
58,0.1,9.999999999999998,0.1,True,0.373148763899869,0.0,14.0
59,0.4,10.399999999999999,0.4,True,0.3794733192202058,0.0,14.0
60,0.5,10.899999999999999,0.5,True,0.38579787454054254,0.0,14.0
61,0.4,11.299999999999999,0.4,True,0.3921224298608793,0.0,14.0
62,0.0,11.299999999999999,0.8,True,0.3984469851812161,0.5,14.5
63,0.0,11.299999999999999,0.5,True,0.40477154050155284,0.0,14.5
64,0.4,11.7,0.4,True,0.4110960958218896,0.0,14.5
65,0.6,12.299999999999999,0.6,True,0.4174206511422264,0.5,15.0
66,0.0,12.299999999999999,0.3,True,0.42374520646256314,0.0,15.0
67,0.0,12.299999999999999,0.8,True,0.4300697617828999,0.5,15.5
68,0.2,12.499999999999998,0.2,True,0.4363943171032367,0.0,15.5
69,0.0,12.499999999999998,1.0,True,0.44271887242357344,0.5,16.0
70,0.0,12.499999999999998,0.8,True,0.4490434277439102,0.5,16.5
71,0.0,12.499999999999998,0.3,True,0.455367983064247,0.0,16.5
72,0.0,12.499999999999998,0.1,True,0.46169253838458374,0.0,16.5
73,0.0,12.499999999999998,0.8,True,0.4680170937049205,0.5,17.0
74,0.7,13.199999999999998,0.7,True,0.4743416490252573,0.5,17.5
75,0.0,13.199999999999998,0.7,True,0.48066620434559404,0.5,18.0
76,0.0,13.199999999999998,0.8,True,0.4869907596659308,0.5,18.5
77,0.2,13.399999999999997,0.2,True,0.4933153149862676,0.0,18.5
78,0.0,13.399999999999997,0.5,True,0.49963987030660434,0.0,18.5
79,0.2,13.599999999999996,0.2,True,0.5059644256269411,0.0,18.5
80,0.0,13.599999999999996,0.9,True,0.5122889809472778,0.5,19.0
81,0.0,13.599999999999996,0.7,True,0.5186135362676145,0.5,19.5
82,0.0,13.599999999999996,0.5,True,0.5249380915879512,0.0,19.5
83,0.2,13.799999999999995,0.2,True,0.531262646908288,0.0,19.5
84,0.4,14.199999999999996,0.4,True,0.5375872022286247,0.0,19.5
85,0.0,14.199999999999996,0.5,True,0.5439117575489614,0.0,19.5
86,0.0,14.199999999999996,0.7,True,0.5502363128692981,0.5,20.0
87,0.0,14.199999999999996,0.7,True,0.5565608681896348,0.5,20.5
88,0.9,15.099999999999996,0.9,True,0.5628854235099715,0.5,21.0
89,0.0,15.099999999999996,0.6,True,0.5692099788303082,0.0,21.0
90,0.3,15.399999999999997,0.3,True,0.5755345341506449,0.0,21.0
91,0.0,15.399999999999997,0.7,True,0.5818590894709816,0.5,21.5
92,0.0,15.399999999999997,0.8,True,0.5881836447913183,0.5,22.0
93,0.0,15.399999999999997,0.6,True,0.5945082001116551,0.5,22.5
94,0.0,15.399999999999997,0.8,True,0.6008327554319918,0.5,23.0
95,0.0,15.399999999999997,0.6,True,0.6071573107523285,0.0,23.0
96,0.0,15.399999999999997,0.6,True,0.6134818660726652,0.5,23.5
97,0.0,15.399999999999997,0.6,True,0.6198064213930019,0.0,23.5
98,0.1,15.499999999999996,0.1,True,0.6261309767133386,0.0,23.5
99,0.3,15.799999999999997,0.3,True,0.6324555320336753,0.0,23.5
100,0.0,15.799999999999997,0.1,True,0.638780087354012,0.0,23.5
