round,sliding_window,primal_dual
1,0.4,0.2
2,1.2000000000000002,0.8
3,1.8000000000000003,1.6
4,2.6000000000000005,2.8
5,3.2000000000000006,3.5999999999999996
6,3.400000000000001,3.9999999999999996
7,4.000000000000001,4.3999999999999995
8,4.200000000000001,4.8
9,4.800000000000001,5.3999999999999995
10,6.4,5.8
11,6.800000000000001,6.0
12,6.800000000000001,6.2
13,7.000000000000001,7.0
14,7.400000000000001,7.0
15,7.600000000000001,7.6
16,8.400000000000002,8.0
17,9.000000000000002,8.0
18,10.000000000000002,8.2
19,10.600000000000001,9.2
20,11.200000000000001,9.399999999999999
21,11.600000000000001,9.399999999999999
22,11.8,10.399999999999999
23,13.0,10.799999999999999
24,13.8,11.6
25,13.8,12.0
26,14.600000000000001,12.4
27,15.200000000000001,13.200000000000001
28,15.600000000000001,13.8
29,16.0,14.200000000000001
30,16.4,14.8
31,17.4,15.200000000000001
32,18.0,15.200000000000001
33,18.4,15.8
34,18.4,16.0
35,19.0,16.8
36,19.8,17.6
37,20.0,18.0
38,20.0,18.4
39,20.2,19.4
40,20.599999999999998,19.4
