round,sliding_window,primal_dual
1,0.4,0.0
2,1.2000000000000002,0.4
3,1.8000000000000003,0.4
4,2.6000000000000005,1.0
5,3.2000000000000006,1.2
6,3.400000000000001,1.4
7,4.000000000000001,1.4
8,4.200000000000001,2.0
9,4.800000000000001,2.8
10,6.4,2.8
11,6.800000000000001,3.5999999999999996
12,6.800000000000001,3.5999999999999996
13,7.000000000000001,4.199999999999999
14,7.400000000000001,4.999999999999999
15,7.600000000000001,5.3999999999999995
16,8.400000000000002,6.6
17,9.000000000000002,7.6
18,10.000000000000002,7.8
19,10.600000000000001,8.2
20,11.200000000000001,8.399999999999999
21,11.600000000000001,8.799999999999999
22,11.8,8.799999999999999
23,13.0,9.6
24,13.8,10.4
25,13.8,10.6
26,14.600000000000001,10.799999999999999
27,15.200000000000001,11.399999999999999
28,15.600000000000001,11.999999999999998
29,16.0,12.399999999999999
30,16.4,12.799999999999999
31,17.4,13.6
32,17.799999999999997,14.0
33,18.199999999999996,14.4
34,18.199999999999996,14.6
35,18.399999999999995,15.0
36,19.199999999999996,15.4
37,19.599999999999994,16.2
38,19.799999999999994,16.599999999999998
39,20.799999999999994,16.799999999999997
